Japan;9;12;0.7500000000000000000
Canada;10;15;0.6666666666666666666
House of York;11;18;0.6111111111111111111
Poland;25;47;0.5319148936170212765
Sweden;26;49;0.5306122448979591836
Prussia;20;38;0.5263157894736842105
France;113;222;0.5090090090090090090
Adal Sultanate;5;10;0.5000000000000000000
Portugal;20;41;0.4878048780487804878
Ottoman Empire;32;73;0.4383561643835616438
Takeda Shingen;5;13;0.3846153846153846153
Spain;46;124;0.3709677419354838709
Hungary;7;19;0.3684210526315789473
Moldavia;4;11;0.3636363636363636363
House of Lancaster;6;18;0.3333333333333333333
Serbia;4;12;0.3333333333333333333
Roundhead;4;12;0.3333333333333333333
The Netherlands;34;105;0.3238095238095238095
Oda Nobunaga;7;23;0.3043478260869565217
England;33;110;0.3000000000000000000
Russia;12;44;0.2727272727272727272
Scotland;8;33;0.2424242424242424242
Toyotomi Hideyoshi;3;14;0.2142857142857142857
Czech Republic;2;11;0.1818181818181818181
Holy Roman Empire;10;70;0.1428571428571428571
Papal States;2;14;0.1428571428571428571
Electorate of Saxony;2;16;0.1250000000000000000
Kingdom of Sardinia;1;10;0.1000000000000000000
Republic of Venice;2;21;0.0952380952380952380
Great Britain;14;163;0.0858895705521472392
Electorate of Brunswick-Lüneburg;1;12;0.0833333333333333333
United States;4;49;0.0816326530612244897
Austria;5;80;0.0625000000000000000
Denmark;1;19;0.0526315789473684210
