Name;Year;TotalLosses
Battle of Barfleur–La Hougue;1692;6700
Battle of Pollilur;1780;6600
Battle of Villinghausen;1761;6400
Battle of the Dunes;1658;6400
Battle of Naseby;1645;6400
Battle of Yamazaki;1582;6300
Battle of Fleurus;1622;6200
Battle of Villafranca;1744;6150
Battle of Kallo;1638;6085
Battle of Bergen;1799;6010
Siege of Toulon;1793;6000
Battle of Meissen;1759;6000
Siege of Maastricht;1673;6000
Siege of Orléans;1428;6000
Battle of Kutná Hora;1421;6000
Battle of Aljubarrota;1385;6000
Second Battle of St Albans;1461;6000
Battle of Marston Moor;1644;5800
Siege of Charleston;1780;5764
Battle of Lobositz;1756;5726
Battle of Polonka;1660;5700
Siege of Haarlem;1572;5700
Warsaw Uprising of 1794;1794;5694
Battle of Assietta;1747;5599
Battle of Castagnaro;1387;5500
Battle of Isokyro;1714;5466
Battle of Formigny;1450;5400
Battle of Klushino;1610;5400
Battle of Holowczyn;1708;5293
Battle of Brihuega;1710;5200
Battle of Krefeld;1758;5200
Battle of Alkmaar;1799;5200
First Battle of Zurich;1799;5200
Battle of Nieuwpoort;1600;5100
The Siege of Busan Castle;1592;5000
Battle of Lützen;1632;5000
Battle of Rain or Battle of Lech
or
Battle of the River Lech;1632;5000
Battle of Mbwila;1665;5000
Battle of the Cosmin Forest;1497;5000
La Noche Triste ("The Night of Sorrows");1520;5000
Battle of Shrewsbury;1403;5000
Battle of Caen;1346;5000
Battle of Villaviciosa;1710;5000
Battle of Garigliano;1503;4900
Battle of Lowestoft;1665;4900
Battle of Klissow;1702;4800
Battle of Brustem;1467;4800
Battle of Bitonto;1734;4795
Battle of White Mountain;1620;4700
Battle of Methven;1306;4600
Battle of Poitiers;1356;4500
Ottoman siege of Thessalonica;1422;4500
Battle of Alfarrobeira;1449;4500
Battle of La Motta;1513;4500
Battle of Alcântara;1580;4500
Siege of Malmö;1677;4500
Battle of Kilsyth;1645;4500
Siege of Acre;1799;4500
The Battle of Würzburg;1796;4500
Battle of Almenar;1710;4400
Battle of Wijnendale;1708;4400
Battle of Landskrona;1677;4300
Battle of Płowce
Part of Polish-Teutonic War (1326–1332);1331;4300
Battle of Castiglione;1796;4250
Battle of Preveza;1538;4200
Battle of Gibraltar;1607;4160
Battle of Byeokjegwan;1593;4120
Battle of Mimasetōge;1569;4100
Siege of Hulst;1645;4100
Battle of Castillon;1453;4100
Battle of Burkersdorf;1762;4100
Battle of Hummelshof;1702;4090
Battle of Domstadtl (Domašov);1758;4050
Battle of Bassano;1796;4000
Battle of Maciejowice;1794;4000
Final Battle of Saraighat;1671;4000
Battle of Knocknanuss;1647;4000
Battle of Edgehill;1642;4000
Battle of Saint Gotthard;1664;4000
Battle of Warsaw;1656;4000
Battle of Agnadello;1509;4000
Battle of Hemmingstedt;1500;4000
Battle of Aussig;1426;4000
Battle of Bergen;1759;3985
Battle of Castricum;1799;3918
Battle of Casteldelfino;1744;3900
Second Battle of Boulou;1794;3820
Battle of Aldenhoven (1794);1794;3800
Battle of Jüterbog;1644;3600
Siege of Pilsen;1618;3600
Battle of Kaiserslautern;1793;3550
Battle of Rathmines;1649;3500
Battle of Torroella;1694;3500
Battle of Ardnocher;1329;3500
Battle of Chojnice;1454;3400
Battle of Moys;1757;3300
Battle of Carillon;1758;3250
Battle of Fornovo;1495;3200
Battle of Brouwershaven;1426;3200
Battle of St.Fagans;1648;3200
Battle of Mookerheyde;1574;3150
Battle of Stoke Field;1487;3150
Battle of Lodi;1796;3036
Battle of Jodoigne;1568;3020
Battle of Byczyna (Pitschen);1588;3000
Battle of Dungans Hill;1647;3000
Battle of Kombi;1647;3000
Battle of Texel;1673;3000
Battle of the Spurs;1513;3000
Battle of Blore Heath;1459;3000
Battle of Ferrybridge;1461;3000
Battle of Bicocca;1522;3000
Second Battle of Athenry;1316;3000
Battle of Zieleńce;1792;3000
Battle of Scheveningen;1653;2950
Battle of Mabila;1540;2900
Battle of Quiberon Bay;1759;2900
Battle of Benburb;1646;2800
Battle of Warburg;1760;2700
Battle of Turnhout;1597;2635
Battle of Cape St. Vincent;1780;2634
Battle of New Ross (1798);1798;2630
Battle of Albrolhos (1631);1631;2600
Siege of Fort Zeelandia
(1661–1662);1661;2600
Battle of Patay;1429;2600
Battle of Mingolsheim;1622;2550
Battle of Hastenbeck;1757;2501
Battle of Dettingen;1743;2500
Battle of Verdun (1792);1792;2500
Siege of Leiden;1573;2500
Crossing of the Düna;1701;2500
Battle of Montenotte;1796;2478
Siege of Fort William Henry;1757;2438
Siege of 's-Hertogenbosch;1629;2400
Battle of Long Island;1776;2357
Battle of Prestonpans;1745;2300
Battle of the Boyne;1690;2250
Battle of Culloden;1746;2213
Battle of Camden;1780;2213
Battle of San Lorenzo de la Muga;1794;2200
Battle of Mondovì;1796;2200
Battle of Borgo;1768;2200
Battle of Vigo Bay;1702;2200
Battle of Sedgemoor;1685;2200
Battle of Crécy;1346;2200
Battle of Leuze;1691;2150
Siege of Breda (1637);1637;2150
Battle of Sablat;1619;2150
Persian Expedition of 1796;1796;2150
Battle of Höchst;1622;2100
Battle of Warsaw;1705;2100
Battle of Górzno;1629;2090
Battle of Krabbendam;1799;2060
Battle of Heiligerlee (1568);1568;2050
Recapture of Bahia;1625;2047
Battle of Coutras;1587;2040
Battle of Grenada;1779;2004
Battle of Dahlen;1568;2000
Capture of Cadiz;1596;2000
Battle of Zusmarshausen;1648;2000
Battle of Blanchetaque;1346;2000
Battle of Visby;1361;2000
Battle of Auray;1364;2000
Battle of Cascina;1364;2000
Battle of Otterburn;1388;2000
Battle of Brunkeberg;1471;2000
Battle of Tewkesbury;1471;2000
Battle of Polesella;1509;2000
Battle of Sainte-Foy;1760;1921
Battle of Arnemuiden;1338;1900
Battle of Prague;1648;1894
Battle of Brandywine;1777;1881
Battle of Fort Oswego;1756;1850
Battle of Ancrum Moor;1545;1802
Battle of Arbedo;1422;1800
Battle of Inverlochy;1645;1750
Battle of Ushant;1778;1735
Battle of La Brossinière;1423;1730
Battle of the Gabbard;1653;1712
Battle of Sempach;1386;1700
Attack on Brest;1694;1695
Battle of Millesimo;1796;1688
Battle of Ballinamuck;1798;1672
Battle of Germantown;1777;1630
Battle of Roundway Down;1643;1600
Battle of Cravant;1423;1600
Siege of Pensacola;1781;1592
Battle of Callantsoog;1799;1537
Battle of Baugé;1421;1500
Battle of Piperdean;1436;1500
Battle of Domažlice;1431;1500
Battle of Lipany;1434;1500
Battle of Pwll Melyn;1405;1500
Battle of Harlaw;1411;1500
Battle of Morgarten;1315;1500
Battle of Barnet;1471;1500
Battle of Auldearn;1645;1500
Battle of Prostken;1656;1500
Battle of Cremona;1702;1500
Battle of Öland;1676;1500
Battle of the Slaak;1631;1500
Battle of Bunker Hill;1775;1490
First Battle of Guararapes;1648;1480
Battle of Camperdown;1797;1445
Battle of Gangut;1714;1407
Battle of the Plains of Abraham;1759;1374
Battle of Eutaw Springs;1781;1373
Battle of Cowpens;1781;1317
Battle of Mikatagahara;1573;1300
Battle of Świecino;1462;1300
Battle of Koronowo;1410;1300
Battle of Guararapes;1649;1290
Battle of Jemappes;1792;1241
Battle of Martinique;1780;1233
Battle of Solway Moss;1542;1227
Battle of Kings Mountain;1780;1208
Battle of Cape St. Vincent;1797;1200
Battle of Szczekociny;1794;1200
Battle of Wakefield;1460;1200
Battle of Picotin;1316;1200
Battle of Augusta;1676;1200
Battle of Reimerswaal;1574;1200
Battle of the Yellow Ford;1598;1200
Battle of Wallhof;1626;1150
Battle of Trzciana;1629;1100
Battle of Fehrbellin;1675;1100
St James' Day Battle;1666;1100
Battle of the Golden Spurs;1302;1100
Battle of Grandson;1476;1100
Battle of Monmouth;1778;1090
Battle of Negapatam;1782;1089
Battle of St. Lucia;1778;1080
Battle of Trenton;1776;1062
Siege of Savannah;1779;1051
Braddock Expedition;1755;1037
Battle of Racławice;1794;1025
Battle of Cuddalore;1783;1021
Battle of Carlow;1798;1000
Battle of Stavuchany;1737;1000
Battle of Toro;1476;1000
Sieges of Toishi;1550;1000
Battle of Mühldorf;1322;1000
Battle of Neville's Cross;1346;1000
Battle of Vyšehrad;1419;1000
Battle of San Romano;1432;1000
Battle of Tedorigawa;1577;1000
Battle of Dogger Bank;1781;988
Battle of Lansdowne;1643;980
Battle of Bennington;1777;977
Battle of the Wabash;1791;957
Battle of Toulon;1744;954
Battle of Havana;1748;932
Battle of Inverlochy (1431);1431;930
Battle of Sheriffmuir;1715;895
Battle of Vinegar Hill;1798;850
Great Swamp Fight;1675;820
Siege of Fort St. Jean;1775;803
Battle of Maidstone;1648;800
Battle of Rijmenam;1578;800
Relief of Goes;1572;800
Battle of Bryn Glas;1402;800
Battle of Providien;1782;792
Battle of Ponza;1435;790
Battle of the Shirts
(Blàr na Léine, Kinloch-Lochy);1544;787
Battle of Falkirk Muir;1746;780
Battle of Oosterweel;1567;750
Battle of Stångebro;1598;740
Battle of Fort Niagara;1759;725
Battle of Guilford Court House;1781;717
Battle of Wisternitz;1619;700
Battle of Cropredy Bridge;1644;700
Battle of Uedahara;1548;700
Siege of Padua;1509;700
Battle of Ardres;1351;700
Second Siege of Takatenjin;1580;680
Battle of Trincomalee;1782;671
Battle of Cape Rachado;1606;650
Siege of Tripoli;1551;630
Battle of St. Kitts;1782;627
Battle of Valverde;1862;618
Battle of Vågen;1665;618
Battle of Manila;1762;608
Battle of Arklow (1798);1798;600
Battle of Foulksmills;1798;600
Battle of Bothwell Bridge;1679;600
Battle of Moncontour;1569;600
Battle of Plassey;1757;572
Battle of Brentford;1642;570
Battle of Oriskany;1777;558
Battle of the Chesapeake;1781;556
Battle of Zatoka Świeża;1463;550
Battle of Cuddalore;1758;538
Battle of Quebec;1775;534
Battle of Dysert O'Dea;1318;530
Battle of Bantry Bay;1689;527
Battle of Glen Shiel;1719;516
Battle of La Naval de Manila;1646;515
Battle of Glenlivet;1594;514
Battle of Beauport;1759;503
Battle of Castlebar;1798;500
Battle of Sangju;1592;500
Battle of Noryang;1598;500
Battle of La Roche-l'Abeille;1569;500
Battle of Uddevalla;1677;500
Battle of Deutschbrod;1422;500
Sack of Rome;1527;500
The Battle of Valmy;1792;484
Battle of Fishing Creek;1780;466
Battle of White Plains;1776;446
Battle of Princeton;1777;434
Battle of Hill of Tara;1798;430
Battle of Hobkirk's Hill;1781;422
Battle of Fort Necessity;1754;422
Battle of Hansan Island;1592;419
Battle of Bunclody;1798;410
Battle of Dirschau;1627;400
Battle of the Solent;1545;400
Battle of Trancoso;1385;400
Battle of Brier Creek;1779;393
Battle of Baton Rouge;1779;384
Battle of the Thousand Islands;1760;373
Battle of Antrim;1798;360
Battle of Fort Duquesne;1758;358
Siege of Eger;1552;350
Battle of Harlem Heights;1776;340
Battle of Groton Heights;1781;338
Battles of Lexington and Concord;1775;335
Battle of Trois-Rivières;1776;323
Battle of Springfield;1780;321
Battle of Nowy Dwór;1655;304
Battle of Amba Sel;1531;303
Siege of Uehara;1541;300
Battle of Northampton;1460;300
Battle of Vítkov Hill;1420;300
Battle of Lunalonge;1349;300
Battle on the Zuiderzee;1573;300
Battle of Langside;1568;300
Battle of Kringen;1612;298
Action of 1 February 1625;1625;291
Battle of Turnhout;1789;255
Battle of the Assunpink Creek;1777;250
Battle of Point Pleasant;1774;248
Battle of Sadras;1782;245
Battle of Valcour Island;1776;240
Siege of Fredriksten;1718;238
Battle of Paulus Hook;1779;220
Battle of Corrichie;1562;220
Battle of Fort Royal;1781;201
Battle of Leghorn;1653;200
Battle of Mynydd Hyddgen;1401;200
Battle of Stony Point;1779;192
Battle of Kilcullen;1798;190
Battle of Porto Praya;1781;183
Battle of La Prairie;1691;173
Battle of Bushy Run;1763;170
Battle of Wofla;1542;168
Battle of Fallen Timbers;1794;163
Battle of Kettle Creek;1779;162
Battle of Naas;1798;160
Battle of Wayna Daga;1543;160
First Battle of St Albans;1455;160
Battle of Las Salinas;1538;150
Battle of Punta Quemada;1525;121
Battle of Garbharry;1555;120
Battle of Ballymore-Eustace;1798;117
Battle of Fort Bull;1756;114
Battle of Oulart Hill;1798;113
Battle of Faughart;1318;110
Siege of Pyongyang;1592;100
Battle of Tuberneering;1798;100
Battle of Vincennes;1779;100
Battle of Blue Licks;1782;100
Battle of Crooked Billet;1778;99
Battle of Three Rocks;1798;88
Battle of Alamance;1771;88
Battle of Bound Brook;1777;87
Battle of St. Louis;1780;83
Battle of Great Bridge;1775;81
Capture of Fort Ticonderoga;1775;80
Battle of Newtown;1779;78
Capture of Trincomalee;1782;76
Battle of Ticonderoga;1759;76
Battle of Dynekilen;1716;76
Battle of Fort Cumberland;1776;75
Battle of Ballyellis;1798;62
Battle of Mobile;1781;57
Battle of Longue-Pointe;1775;53
Capture of Bahia;1624;50
Raid on the Medway;1667;50
Battle of Quebec;1690;49
Battle of the North Inch;1396;48
Battle of Baçente;1542;48
Battle of Pell's Point;1776;44
Battle of Moore's Creek Bridge;1776;42
Battle of Prosperous;1798;40
Battle of Bloody Creek;1757;36
Battle of Reading;1688;35
Battle of Fort Beauséjour;1755;34
Battle of Busanpo;1592;31
Battle of Fort Ligonier;1758;30
Second Battle of Tucson;1782;29
Battle of Machias;1775;27
Battle of Elmina;1625;27
Battle of Bloody Creek;1711;25
Siege of Fort Ticonderoga (1777);1777;23
Battle of Les Espagnols sur Mer;1350;20
Capture of Fort Bute;1779;17
Combat of the Thirty;1351;15
Battle of Muizenberg;1795;14
Battle of Richmond Hill;1795;13
Battle of Fort Charlotte;1780;11
Battle of Lake Pontchartrain;1779;11
Battle of Brest;1342;11
Battle of The Cedars;1776;10
Battle of Alligator Bridge;1778;9
Fourth Battle of Tucson;1784;9
Battle of Ceuta;1415;8
Battle of Myeongnyang;1597;5
Battle of Puná;1531;3
Battle of Jumonville Glen;1754;3
Battle of the Rice Boats;1776;1
Battle of Lagos;1759;0
Battle of Ponte Novu;1769;0
Battle of Wandiwash;1760;0
Battle of Kathio;1750;0
Battle of Rottofreddo;1746;0
Battle of Reichenberg;1757;0
Battle of Cartagena;1758;0
Pruth Campaign;1710;0
Battle of the Salween River;1718;0
Battle of Preston;1715;0
Battle of Palkhed;1728;0
Battle of Colachel;1741;0
Battle of Fort Wayne;1790;0
Battle of Kepaniwai;1790;0
Battle of Sprimont;1794;0
Battle of Chillicothe;1779;0
First Battle of Tucson;1779;0
Second Battle of Ushant;1781;0
Siege of Negapatam;1781;0
Siege of Jaffa;1799;0
Battle of Engen;1800;0
Battle of Antukyah;1531;0
Battle of Kappel;1531;0
Battle of Cuzco (1533);1533;0
Battle of Un no Kuchi;1536;0
Siege of Cuzco;1536;0
Battle of Ollantaytambo;1537;0
Battle of Hadden Rig;1542;0
Battle of Jarte;1542;0
Battle of Sezawa;1542;0
Battle of Sahart;1541;0
Siege of Kamakura;1526;0
Battle of Shimbra Kure;1529;0
Battle of Gavinana;1530;0
Siege of Edo;1524;0
Battle of Frankenhausen;1525;0
War of Urbino;1517;0
Battle of Yaunis Khan;1516;0
Siege of Arai;1516;0
Second Battle of Panipat;1556;0
Siege of Calais;1558;0
Battle of Norada;1560;0
Battle of Okehazama;1560;0
Battle of Renty;1554;0
Siege of Fukashi;1549;0
Battle of Shiojiritoge;1548;0
Siege of Nagakubo;1543;0
Siege of Kojinyama;1544;0
Siege of Ryūgasaki;1545;0
Siege of Takatō;1545;0
First Battle of Azukizaka;1542;0
Siege of Fukuyo;1542;0
Siege of Kuwabara;1542;0
Battle of Alltan-Beath;1542;0
Battle of the Hill of the Jews;1542;0
Battle of Mortimer's Cross;1461;0
Battle of Sandwich;1460;0
Battle of Ludford Bridge;1459;0
Battle of Kruševac;1454;0
Battle of Leskovac;1454;0
Battle of Arkinholm;1455;0
Tumu Crisis;1449;0
Battle of Hedgley Moor;1464;0
Battle of Hexham;1464;0
Battle of Molinella;1467;0
Battle of Edgecote Moor;1469;0
Battle of Lipnic;1470;0
Battle of Losecoat Field;1470;0
Battle of Negropont;1470;0
Battle of Vaslui
Bătălia de la Vaslui;1475;0
Battle of Otlukbeli;1473;0
Siege of Neuss;1474;0
Battle of Modon;1500;0
Battle of Diu;1509;0
Battle of Chaldiran;1514;0
Battle of Orsha;1514;0
Frisian peasant rebellion;1515;0
Battle of Valea Albă/Războieni/Akdere;1476;0
Battle of Nancy;1477;0
Battle of Bloody Bay;1480;0
Battle of Sauchieburn;1488;0
Battle of Drumchatt (1497);1497;0
Granada War;1482;0
Battle of Lochmaben Fair;1484;0
Battle of Bosworth;1485;0
Battle of Aldy Charrish;1487;0
Siege of Rouen;1418;0
Battle of La Rochelle;1419;0
Battle of Sudomĕř;1420;0
Battle of Chalagan;1412;0
Battle of Tuiteam Tarbhach;1406;0
Battle of Bramham Moor;1408;0
Battle of Kherlen;1409;0
Battle of Sanluri;1409;0
Battle of the Vorskla River;1399;0
Battle of Bileća;1388;0
Battle of Casalecchio;1402;0
Battle of Homildon Hill;1402;0
Battle of Nesbit Moor;1402;0
Battle of Savra;1385;0
Battle of Tochar Cruacháin Brí Eile;1385;0
Battle of Kosovo;1389;0
Battle of Ros Mhic Thriúin;1394;0
Battle of Rovine;1395;0
Battle of Nicopolis;1396;0
Battle of Meaux;1421;0
Battle of Hořice;1423;0
Battle of St. James;1426;0
Battle of Zagonara;1424;0
Battle of Beaugency;1429;0
Battle of Jargeau;1429;0
Battle of Meung-sur-Loire;1429;0
Battle of Gomit;1445;0
Battle of Damghan;1447;0
Battle of Anghiari;1440;0
Siege of Novo Brdo;1440;0
Battle of Kunovica;1444;0
Siege of Compiègne;1430;0
Battle of Gerberoy;1435;0
Battle of Morlaix;1342;0
Battle of Stephaniana;1344;0
Battle of Auberoche;1345;0
Battle of Gamenario;1345;0
Battle of Peritheorion;1345;0
Battle of Warns;1345;0
Battle of Saint-Pol-de-Léon;1346;0
Siege of Calais;1346;0
Battle of La Roche-Derrien;1347;0
Battle of Mello;1358;0
Battle of Cocherel;1364;0
Ottoman conquest of Adrianople;1361;0
Battle of Helsingborg;1362;0
Battle of Montiel;1369;0
Battle of Baesweiler;1371;0
Battle of Maritsa;1371;0
War of the Eight Saints;1375;0
Battle on Pyana River;1377;0
Battle of Dubravnica;1380;0
Battle of North Walsham;1381;0
Battle of Roosebeke;1382;0
Battle of Atoleiros;1384;0
Battle of Chios;1319;0
Battle of Bliska (1322);1322;0
Battle of Boroughbridge;1322;0
Battle of Burton Bridge;1322;0
Battle of Bapheus;1302;0
Battle of Manolada;1316;0
Battle of Mons-en-Pévèle;1304;0
Siege of Stirling Castle;1304;0
Battle of Montecatini;1315;0
Battle of Loudoun Hill;1307;0
Battle of Halmyros;1311;0
Battle of Gammelsdorf;1313;0
Battle of Zappolino;1325;0
Battle of Río Salado;1340;0
Battle of Champtoceaux;1341;0
Battle of Pelekanon;1329;0
Battle of Posada;1330;0
Battle of Halidon Hill;1333;0
Battle of Minatogawa;1336;0
Battle of Cadsand;1337;0
Siege of Kanegasaki (1337);1337;0
Battle of Chilchonryang;1597;0
Siege of Namwon;1597;0
Battle of Dryfe Sands;1593;0
Battle of Imafuku;1614;0
Battle of Kashii;1615;0
Siege of Troitse-Sergiyeva Lavra;1608;0
Siege of Smolensk;1609;0
Battle of Bantam;1601;0
Dutch-Portuguese War;1601;0
Battle of Dobrynichi;1605;0
Battle of Oliwa;1627;0
Siege of Groenlo;1627;0
Battle in the Bay of Matanzas;1628;0
Siege of Maastricht;1632;0
Battle of Elmina;1637;0
Action of 30 September 1639;1639;0
Battle of the Downs;1639;0
Battle of Malacca;1640;0
Capture of Luanda;1641;0
The Wars of Castro;1641;0
Battle of Okpo;1592;0
Battle of Vimory;1587;0
Siege of Odawara;1590;0
Siege of Shimoda;1590;0
Siege of Kyoto;1582;0
Siege of Takamatsu;1582;0
Battle of Shizugatake;1583;0
Battle of Torches;1583;0
Battle of Komaki and Nagakute;1584;0
"Invasion of Shikoku &amp; Siege of Ichinomiya";1585;0
Battle of Zutphen;1586;0
Siege of Tottori;1581;0
Battle of Temmokuzan;1582;0
Battle of Uchidehama;1582;0
Siege of Kōzuki Castle;1578;0
Siege of Miki;1578;0
Siege of Itami (1579);1579;0
Battle of Çıldır;1578;0
Siege of Itami (1574);1574;0
First Battle of Kizugawaguchi;1576;0
Siege of Mitsuji;1576;0
Battle of Azukizaka;1564;0
Battle of Kōnodai;1564;0
Battle of Carberry Hill;1567;0
Siege of Hachigata;1568;0
Battle of Jarnac;1569;0
Siege of Odawara;1569;0
Battle of Anegawa;1570;0
Siege of Chōkōji;1570;0
Siege of Ishiyama Hongan-ji;1570;0
Siege of Ichijōdani Castle;1573;0
Siege of Iwamura;1572;0
Battle of Haarlemmermeer;1573;0
Siege of Noda Castle;1573;0
Siege of Odani;1573;0
Battle of Lillo;1574;0
Siege of Futamata;1572;0
First Siege of Nagashima;1571;0
Battle of Bhangani;1686;0
Battle of Beachy Head;1690;0
Battle of Drumclog;1679;0
Battle of Marstrand;1677;0
Battle of Bornholm;1676;0
Battle of Lwów;1675;0
Battle of Turckheim;1675;0
Siege of Bonn;1673;0
Battle of Schooneveld;1673;0
Battle of Solebay;1672;0
Siege of Groenlo;1672;0
Battle of Slankamen;1691;0
Battle of Lagos;1693;0
Battle of Landen;1693;0
Siege of Barcelona;1706;0
Battle of Żarnów;1655;0
Siege of Jasna Góra;1655;0
Battle of Kolding;1658;0
Battle of Portland;1653;0
Action of 2 May 1654;1654;0
Action of 23 March 1654;1654;0
Battle of Arras;1654;0
