Name;Year;ConflictSide;AllStrength;AllLosses;Ratio
Battle of Formigny;1450;0;7000;4400;0.6285714285714285714
Battle of Dahlen;1568;0;3200;2000;0.6250000000000000000
Battle of Chungju (Choryang Pass);1592;1;80000;50000;0.6250000000000000000
Battle of La Naval de Manila;1646;1;800;500;0.6250000000000000000
Battle of Saragossa;1710;0;20000;12500;0.6250000000000000000
Battle of Heiligerlee (1568);1568;1;3220;2000;0.6211180124223602484
Battle of Cartagena de Indias;1741;0;29000;18000;0.6206896551724137931
Battle of Brouwershaven;1426;0;5200;3200;0.6153846153846153846
Battle of Schellenberg;1704;1;13000;8000;0.6153846153846153846
Battle of Blenheim;1704;1;56000;34190;0.6105357142857142857
Siege of Pilsen;1618;1;4158;2500;0.6012506012506012506
Second Battle of Athenry;1316;0;5000;3000;0.6000000000000000000
Great Swamp Fight;1675;1;1000;600;0.6000000000000000000
Battle of Breitenfeld;1642;1;25000;15000;0.6000000000000000000
Warsaw Uprising of 1794;1794;1;8000;4750;0.5937500000000000000
Battle of Saint-Omer;1340;1;13500;8000;0.5925925925925925925
Battle of Baia;1467;0;12000;7000;0.5833333333333333333
Battle of Jemmingen;1568;0;12000;7000;0.5833333333333333333
Battle of Oriskany;1777;0;800;465;0.5812500000000000000
Battle of Turnhout;1597;0;4500;2600;0.5777777777777777777
Battle of Kilsyth;1645;1;7800;4500;0.5769230769230769230
Battle of Wallhof;1626;1;2000;1150;0.5750000000000000000
Battle of Sisak;1593;0;14000;8000;0.5714285714285714285
Battle of Maciejowice;1794;0;7000;4000;0.5714285714285714285
Battle of Blanchetaque;1346;1;3500;2000;0.5714285714285714285
Battle of Cartagena de Indias;1741;1;3500;2000;0.5714285714285714285
Battle of Fishing Creek;1780;0;800;450;0.5625000000000000000
Battle of Jankau;1645;1;16000;9000;0.5625000000000000000
Battle of Ravenna;1512;1;16000;9000;0.5625000000000000000
Battle of Helsingborg;1710;1;14000;7677;0.5483571428571428571
Battle of Wofla;1542;1;313;168;0.5367412140575079872
Battle of Varna;1444;0;28000;15000;0.5357142857142857142
Battle of Ceresole;1544;1;16150;8650;0.5356037151702786377
Battle of Mühlberg;1547;0;15000;8000;0.5333333333333333333
Battle of Morat;1476;0;15000;8000;0.5333333333333333333
Battle of Verneuil;1424;1;15000;8000;0.5333333333333333333
Battle of Obertyn;1531;1;17000;8746;0.5144705882352941176
Siege of Haarlem;1572;0;7775;4000;0.5144694533762057877
Siege of Groningen;1672;0;24000;12000;0.5000000000000000000
Siege of Bergen op Zoom;1747;0;10000;5000;0.5000000000000000000
Battle of Sedgemoor;1685;1;4000;2000;0.5000000000000000000
Third Battle of Panipat;1761;1;70000;35000;0.5000000000000000000
Battle of Patay;1429;1;5000;2500;0.5000000000000000000
Battle of Neuwied (1797);1797;1;21000;10500;0.5000000000000000000
Battle of Inverlochy;1645;1;3000;1500;0.5000000000000000000
Battle of Lesnaya;1708;0;12000;6000;0.5000000000000000000
Battle of Castillon;1453;0;8000;4000;0.5000000000000000000
Battle of Agnadello;1509;1;8000;4000;0.5000000000000000000
Battle of Górzno;1629;1;4000;2000;0.5000000000000000000
Battle of Fleurus;1690;1;38000;19000;0.5000000000000000000
Battle of Marignano;1515;1;22200;11000;0.4954954954954954954
Battle of Polonka;1660;1;8500;4200;0.4941176470588235294
First Battle of Panipat;1526;1;36000;17500;0.4861111111111111111
Battle of Longue-Pointe;1775;0;97;47;0.4845360824742268041
Recapture of Bahia;1625;1;4000;1912;0.4780000000000000000
First Battle of Breitenfeld;1631;1;35000;16600;0.4742857142857142857
Battle of Hummelshof;1702;0;6000;2840;0.4733333333333333333
Battle of Alcântara;1580;0;8500;4000;0.4705882352941176470
Battle of Otterburn;1388;1;3200;1500;0.4687500000000000000
Battle of Rivoli;1797;1;28000;13000;0.4642857142857142857
Battle of Blue Licks;1782;0;182;83;0.4560439560439560439
Battle of Fort Duquesne;1758;1;750;342;0.4560000000000000000
Battle of Grunwald;1410;0;27500;12500;0.4545454545454545454
Braddock Expedition;1755;1;2100;950;0.4523809523809523809
Battle of Marengo;1800;1;31000;14000;0.4516129032258064516
Battle of Lens;1648;1;18000;8000;0.4444444444444444444
Battle of Keresztes;1596;1;45000;20000;0.4444444444444444444
Battle of Aughrim;1691;0;18000;8000;0.4444444444444444444
Battle of Montes Claros;1665;1;22600;10000;0.4424778761061946902
