Name;Year;TotalStrength
Battle of Höchst;1622;43000
Battle of Dobrynichi;1605;43000
Battle of Bicocca;1522;43000
Battle of Lesnaya;1708;43000
Battle of Loano;1795;43000
Battle of Montes Claros;1665;42600
Battle of Krtsanisi;1795;42500
Siege of Groenlo;1627;42300
Battle of White Mountain;1620;42000
Battle of the Solent;1545;42000
Battle of Meissen;1759;42000
Battle of Domstadtl (Domašov);1758;42000
Battle of Klushino;1610;41650
Siege of Calais;1346;41500
Battle of Szczekociny;1794;41500
Battle of Mikatagahara;1573;41000
Battle of Mollwitz;1741;40600
Battle of Crécy;1346;40500
Battle of Posada;1330;40000
Battle of Ridaniya;1517;40000
Battle of Fornovo;1495;40000
Battle of Morat;1476;40000
First Siege of Nagashima;1571;40000
Battle of Anegawa;1570;40000
Battle of Stadtlohn;1623;40000
Battle of Mbwila;1665;40000
Siege of Bergen op Zoom;1747;40000
Battle of Assietta;1747;40000
Battle of Landeshut;1760;40000
Battle of Ochmatów (Okhmativ);1644;39130
Battle of Marston Moor;1644;39000
Battle of Kombi;1647;39000
Battle of Ravenna;1512;39000
Battle of Zappolino;1325;39000
Battle of Moys;1757;39000
Battle of Villafranca;1744;38000
Battle of Vinegar Hill;1798;38000
Battle of Garigliano;1503;38000
Battle of Agnadello;1509;38000
Battle of Grandson;1476;38000
Battle of Aughrim;1691;38000
Battle of Aljubarrota;1385;37500
Siege of Eger;1552;37200
Battle of Rijmenam;1578;37000
Battle of the Spurs;1513;37000
Battle of Wittstock;1636;36600
Battle of Freiburg;1644;36500
Siege of Jinju;1592;36300
Battle of Norada;1560;36000
Battle of Zusmarshausen;1648;36000
Battle of Alfarrobeira;1449;36000
Siege of 's-Hertogenbosch;1629;35000
Battle of Schellenberg;1704;35000
Battle of Klissow;1702;34900
Battle of Villaviciosa;1710;34000
Battle of Praga;1794;34000
Battle of Lens;1648;34000
Battle of Cassel;1677;34000
Battle of Chojnice;1454;34000
Battle of Saint Gotthard;1664;33500
Battle of Gadebusch;1712;33500
Battle of Novara;1513;32700
Battle of Cartagena de Indias;1741;32500
Battle of Kruševac;1454;32000
